score,sentence1,sentence2,sbj1,sbj2
Sim3, مردی در حال پریدن به داخل یک استخر خالی است , مردی در حال پریدن در یک استخر پر است ,مردی,مردی
Sim2, یک موتورسوار تنها در حال پریدن در هوا است , مردی در حال پریدن در یک استخر پر است ,موتورسوار,مردی
Sim2, یک موتورسوار تنها در حال پریدن در هوا است , مردی در حال پریدن به داخل یک استخر خالی است ,موتورسوار,مردی
Sim4, مردی که بازی می‌کند در حالی که توپ را در دست دارد می‌دود , بازیکنی با توپ در حال دویدن است ,مردی,بازیکن
Sim2, دو گروه از مردم فوتبال بازی می‌کنند , بازیکنی با توپ در حال دویدن است ,گروه,بازیکن
Sim3, دو تیم در یک بازی بیس بال با هم رقابت می‌کنند , بازیکنی با توپ در حال دویدن است ,تیم,بازیکن
Sim3, بازیکنی با توپ در حال دویدن است , دو تیم در یک مسابقه فوتبال با هم رقابت می‌کنند ,بازیکن,تیم
Sim3, پنج پایه چوبی جلوی کلبه هر کودک است , پنج کودک مقابل کلبه‌ای چوبی ایستاده‌اند ,پایه,کودک
Sim4, پنج بچه نزدیک هم ایستاده‌اند و یک بچه اسلحه دارد , پنج بچه نزدیک هم ایستاده‌اند و هیچ کدام از بچه‌ها اسلحه ندارند ,بچه,بچه
Sim3, پنج بچه نزدیک هم ایستاده‌اند و هیچ کدام از بچه‌ها اسلحه ندارند , پنج کودک مقابل کلبه‌ای چوبی ایستاده‌اند ,بچه,کودک
Sim3, پنج کودک در یک کلبه چوبی ایستاده‌اند , پنج بچه نزدیک هم ایستاده‌اند و یک بچه اسلحه دارد ,کودک,بچه
Sim2, پنج پایه چوبی جلوی کلبه هر کودک است , پنج بچه نزدیک هم ایستاده‌اند و یک بچه اسلحه دارد ,پایه,بچه
Sim4, پیرمردی در مزرعه‌ای نشسته است , مردی در مزرعه‌ای نشسته است ,پیرمرد,مردی
Sim3, مردی در مزرعه‌ای نشسته است , مردی در مزرعه‌ای می‌دود ,مردی,مردی
Sim4, شخصی کلاه به سر دارد و روی چمن‌ها نشسته است , شخصی در مزرعه‌ای نشسته و کلاهی به سر دارد ,شخصی,شخص
Sim4, یک آهو در حال پریدن از روی حصار است , گوزن از روی حصار نمی‌پرد ,آهو,گوزن
Sim3, مردم در داخل ساختمانی قدم می‌زنند که نقاشی‌های دیواری زیادی روی آن قرار دارد , مردم در حال قدم زدن در بیرون از ساختمانی هستند که نقاشی‌های دیواری زیادی روی آن قرار دارد ,دیگر,دیگر
Sim4, چند نفر جلوی یک ساختمان رنگارنگ هستند , هیچ کس جلوی ساختمان رنگارنگ نیست ,نفر,کس
Sim4, مردم در حال قدم زدن در بیرون از ساختمانی هستند که نقاشی‌های دیواری زیادی روی آن قرار دارد , هیچ کس جلوی ساختمان رنگارنگ نیست ,دیگر,کس
Sim4, مردم در حال قدم زدن در خارج از ساختمانی هستند که چندین نقاشی دیواری روی آن قرار دارد , چند نفر جلوی یک ساختمان رنگارنگ هستند ,دیگر,نفر
Sim3, افراد مختلف در میزهای قرمز یک رستوران شلوغ با چراغ‌های بنفش مشغول غذا خوردن هستند , گروه کوچکی از مردم منتظر غذا در یک رستوران هستند ,افراد,گروه
Sim5, یک موتورسوار در حالی که به طرز خطرناکی در حال عبور از یک جاده در حال موتور سواری است , یک موتورسوار در امتداد جاده‌ای در حال موتور سواری است ,موتورسوار,موتورسوار
Sim5, مردی با کلاه ایمنی قرمز رنگ در حال رانندگی با موتور سیکلت آبی در جاده است , یک موتورسوار با کلاه ایمنی قرمز در حال رانندگی با موتور سیکلت آبی در جاده است ,مردی,موتورسوار
Sim3, یک موتورسوار بدون کلاه ایمنی با موتور سیکلت آبی نزدیک جاده منتظر است , یک موتورسوار در امتداد جاده‌ای در حال موتور سواری است ,موتورسوار,موتورسوار
Sim4, دو سگ کنار درخت بازی می‌کنند , سگی در حال گرفتن چوب در هوا است و دیگری در حال تماشای آن است ,سگ,سگ
Sim3, دو سگ کنار درخت بازی می‌کنند , هیچ سگی در هوا نمی‌پرد ,سگ,سگ
Sim4, دختری سفید پوش در حال رقصیدن است , رقصنده در مقابل تجهیزات صدا در حال رقصیدن است ,دختر,رقصنده
Sim3, دختری سفید پوش در حال رقصیدن است , دختر بور پشت تجهیزات صدا می‌رقصد ,دختر,دختر
Sim4, دختری لباس سفید پوشیده و در حال رقص است , دختر بور مقابل تجهیزات صدا در حال رقصیدن است ,دختر,دختر
Sim4, سه بچه آسیایی می‌رقصند و یک مرد نگاه می‌کند , یک مرد آسیایی در حال رقص است و سه بچه در جستجوی او هستند ,بچه,مرد
Sim2, فرزندان یک خانواده با حوصله بازی می‌کنند و منتظرند , سه بچه آسیایی می‌رقصند و یک مرد نگاه می‌کند ,فرزند,بچه
Sim4, زنی کلاه مصری بر سر دارد , زنی از روسری مصری استفاده می‌کند ,زنی,زنی
Sim4, زنی از روسری مصری استفاده می‌کند , زنی از روسری هندی استفاده می‌کند ,زنی,زنی
Sim2, یک کوهنورد در بالای کوه است و در حال رقص است , یک مرد روی صخره‌ای بالاتر از برخی درختان قرار دارد و در موقعیت ناراحتی ایستاده است ,کوهنورد,مرد
Sim2, یک کوهنورد در بالای کوه است و در حال رقص است , هیچ مردی روی صخره‌ای بالاتر از برخی درختان نیست که در موقعیت عجیبی ایستاده باشد ,کوهنورد,مردی
Sim4, پسری در آب سرد ایستاده است , پسری در آب ایستاده است ,پسر,پسر
Sim4, مردی روی صحنه مشغول نواختن گیتار است , هیچ مردی روی صحنه گیتار نمی‌زند ,مردی,مردی
Sim4, مردی روی صحنه مشغول نواختن گیتار است , شخص کچلی در حال نواختن گیتار است ,مردی,شخص
Sim4, دو دختر جوان روی زمین نشسته‌اند , دو دختر روی زمین نشسته‌اند ,دختر,دختر
Sim4, گروهی از مردم در نزدیکی اقیانوس هستند , جمعیت زیادی نزدیک آب هستند ,دیگر,جمعیت
Sim4, جمعیت زیادی نزدیک آب هستند , جمعیت زیادی از آب دور هستند ,جمعیت,جمعیت
Sim4, گروهی از مردم در ساحل هستند , گروهی از مردم نزدیک دریا هستند ,گروهی,گروهی
Sim3, گروهی از مردم در ساحل هستند , گروهی از مردم در کوه هستند ,گروهی,گروهی
Sim4, یک مرد یک زن و دو دختر در حال قدم زدن در ساحل هستند , چهار نفر در ساحل قدم می‌زنند ,مرد,نفر
Sim5, گروهی از مردم در ساحل هستند , چهار نفر در ساحل قدم می‌زنند ,گروهی,نفر
Sim1, یک مرد یک زن و دو دختر در حال قدم زدن در ساحل هستند , گروهی از مردم در کوه هستند ,مرد,گروهی
Sim4, یک مرد یک زن و دو دختر در حال قدم زدن در ساحل هستند , گروهی از مردم در ساحل هستند ,مرد,گروهی
Sim5, یک دختر مدرسه‌ای با کیسه سیاه در قطاری شلوغ است , دختری با کیسه سیاه در قطاری شلوغ است ,دختر,دختر
Sim4, در قطار شلوغ دختری با کیف سیاه وجود ندارد , دختری با کیسه سیاه در قطاری شلوغ است ,دختر,دختر
Sim4, یک زن آسیایی در میان جمعیت کیسه‌ای سیاه به همراه ندارد , یک زن آسیایی در میان جمعیت یک کیف سیاه به همراه دارد ,زن,زن
Sim2, دختری با کیسه سیاه در قطاری شلوغ است , یک زن آسیایی در میان جمعیت کیسه‌ای سیاه به همراه ندارد ,دختر,زن
Sim3, یک دختر مدرسه‌ای با کیسه سیاه در قطاری شلوغ است , یک زن آسیایی در میان جمعیت یک کیف سیاه به همراه دارد ,دختر,زن
Sim5, سگی در حال تعقیب دیگری است و چوبی را در دهان خود نگه داشته است , سگی در حال تعقیب دیگری است و یک تکه چوب را در دهان خود نگه داشته است ,سگ,سگ
Sim4, دو سگ می‌دوند و یک اسباب بازی را در دهان خود حمل می‌کنند , دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می‌کنند ,سگ,سگ
Sim4, سگی در حال تعقیب دیگری است و یک تکه چوب را در دهان خود نگه داشته است , دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می‌کنند ,سگ,سگ
Sim4, سگی در حال تعقیب دیگری است و چوبی را در دهان خود نگه داشته است , دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می‌کنند ,سگ,سگ
Sim4, یک توپ فوتبال در تور دروازه می‌چرخد , یک بازیکن فوتبال توپ را به دروازه می‌زند ,توپ,بازیکن
Sim4, مرد خالکوبی روی کاناپه خوابیده و مداد را در دست دارد , مرد خالکوبی روی مبل است و مداد را در دست دارد ,مرد,مرد
Sim2, مردی روی صندلی نشسته و چشمان خود را می‌مالد , مردی با خالکوبی روی کاناپه خوابیده و به دنبال مداد است ,مردی,مردی
Sim2, مردی با خالکوبی یک کاناپه را با مداد در دست گرفته است , مردی روی صندلی نشسته و چشمان خود را می‌مالد ,مردی,مردی
Sim5, مردی با لباسهای پوشیده از رنگ بیرون در منطقه‌ای شلوغ نشسته و چیزی می‌نویسد , مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه‌ای شلوغ نشسته و چیزی می‌نویسد ,مردی,مردی
Sim4, یک مرد نشسته مشغول نوشتن چیزی در منطقه‌ای است که توسط رنگ پوشانده شده است , مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه‌ای شلوغ نشسته و چیزی می‌نویسد ,مرد,مردی
Sim4, مردی نزدیک دوچرخه نشسته و در حال نوشتن یادداشت است , هیچ مردی در حال نوشتن یادداشت در نزدیکی دوچرخه نیست ,مردی,مردی
Sim3, مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه‌ای شلوغ نشسته و چیزی می‌نویسد , مردی نزدیک دوچرخه ایستاده است و دارد روی کاغذی می‌نویسد ,مردی,مردی
Sim3, هیچ مردی در حال نوشتن یادداشت در نزدیکی دوچرخه نیست , مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه‌ای شلوغ نشسته و چیزی می‌نویسد ,مردی,مردی
Sim3, مردی نزدیک دوچرخه نشسته و در حال نوشتن یادداشت است , مردی با لباسهای پوشیده از رنگ بیرون در منطقه‌ای شلوغ نشسته و چیزی می‌نویسد ,مردی,مردی
Sim4, گروهی از پیشاهنگان در چمنزارها اردو می‌زنند , گروهی از پیشاهنگان در حال پیاده روی در میان چمن‌ها هستند ,گروهی,گروهی
Sim5, برخی از افراد در حال قدم زدن هستند , مردم راه می‌روند ,برخی,دیگر
Sim2, برخی از افراد در حال قدم زدن هستند , گروهی از پیشاهنگان در چمنزارها اردو می‌زنند ,برخی,گروهی
Sim3, دو مرد در حال استراحت از سفر در جاده‌ای برفی هستند , دو مرد هنگام سفر در جاده‌ای برفی در حال سوار شدن به اتومبیل هستند ,مرد,مرد
Sim4, دو مرد تیرهای ماهیگیری را در دست دارند , دو مرد نزدیک آب ایستاده‌اند و ابزارهایی را که برای ماهیگیری استفاده می‌شود در دست دارند ,مرد,مرد
Sim4, یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است , خانمی با دوچرخه می‌پرد ,زن,خانم
Sim2, یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است , یک زن در حال انجام یک شگرد در یک سطح شیب دار با ماشین است ,زن,زن
Sim3, دختری با کلاه ایمنی در حال دوچرخه سواری است , یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است ,دختر,زن
Sim5, یک دختر بور در حال گشت و گذار است , دختری بور موج سواری می‌کند ,دختر,دختر
Sim4, خانمی در حال موج سواری و موج سواری است , پسری در حال موج سواری و موج سواری است ,خانم,پسر
Sim4, یک زن در حال گشت و گذار است , دختری بور موج سواری می‌کند ,زن,دختر
Sim4, خانمی در حال موج سواری و موج سواری است , یک دختر بور در حال گشت و گذار است ,خانم,دختر
Sim3, دو کودک و یک بزرگسال کنار اندام درخت ایستاده‌اند , دو کودک در حال بالا رفتن از یک درخت هستند ,کودک,کودک
Sim4, مردی که لباس سیاه پوشیده است در حال دوچرخه سواری است , مردی در حال اجرای ترفند با دوچرخه است ,مردی,مردی
Sim3, هیچ مردی با لباس سیاه و دوچرخه سبز وجود ندارد , مردی با دوچرخه سبز ترفند می‌زند ,مردی,مردی
Sim4, کودکی که می‌خندد اسلحه آب در دست دارد و با آب پاشیده می‌شود , کودکی با اسلحه‌ای که آب پاشش می‌کند در حال خندیدن و ضربه خوردن توسط پسران دیگر است ,کودک,کودک
Sim4, هیچ کودکی اسلحه آب در دست ندارد و یا با آب پاشیده نمی‌شود , کودکی که می‌خندد اسلحه آب در دست دارد و با آب پاشیده می‌شود ,کودک,کودک
Sim4, دو داشوند با توپ قرمز بازی می‌کنند , دو سگ با یک توپ کوچک قرمز بازی می‌کنند ,داشوند,سگ
Sim3, دو گربه با یک توپ قرمز بازی می‌کنند , دو داشوند با توپ قرمز بازی می‌کنند ,گربه,داشوند
Sim4, دو سگ قهوه‌ای بر سر یک توپ قرمز درگیر شده و در چمن بازی می‌کنند , دو سگ با یک توپ کوچک قرمز بازی می‌کنند ,سگ,سگ
Sim3, هیچ سگی با توپ قرمز بازی نمی‌کند , دو داشوند با توپ قرمز بازی می‌کنند ,سگ,داشوند
Sim5, سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است , سگ که سیاه و سفید است در حال دویدن است و شخصی پشت سر آن می‌ایستد ,سگ,سگ
Sim3, سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است , یک سگ کوچک در حال دویدن است و شخصی که صاحب آن است سعی دارد آن را صید کند ,سگ,سگ
Sim3, سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است , سگ کوچکی سرعت خود را کم می‌کند و صاحب آن در حال تعقیب آن است ,سگ,سگ
Sim5, مردی که پیراهن مشکی رنگ شده‌ای روی میز نشسته و می‌خندد , پیراهن مشکی را مردی می‌پوشد که پشت میز نشسته و می‌خندد ,مردی,
Sim4, پیراهن مشکی را مردی می‌پوشد که پشت میز نشسته و می‌خندد , مردی به راحتی پشت یک میز نشسته است ,مردی,مردی
Sim4, مردی به راحتی پشت یک میز نشسته است , مردی که پیراهن مشکی رنگ شده‌ای روی میز نشسته و می‌خندد ,مردی,مردی
Sim4, زنی که روسری صورتی به سر دارد از روی پل ساخته شده برای عابران پیاده دوچرخه سواری می‌کند , زنی که شلوار نقره‌ای زنگوله‌های صورتی و روسری صورتی دارد در حال دوچرخه سواری است ,زنی,زنی
Sim3, یک دوچرخه سوار برهنه است , یک دوچرخه سوار دنده‌ای به تن دارد که سیاه است ,دوچرخه,دوچرخه سوار
Sim3, یک مرد کلاه ایمنی به سر دارد و دوچرخه را هل می‌دهد , یک دوچرخه سوار برهنه است ,مرد,دوچرخه سوار
Sim5, مردی با تی شرت خاکستری روی صخره‌ای مقابل آبشار نشسته است , مردی با تی شرت رنگ خاکستری رنگ روی صخره‌ای مقابل آبشار نشسته است ,مردی,مردی
Sim3, زنی ایستاده است و به آبشار نگاه نمی‌کند , زنی نشسته و به آبشار نگاه می‌کند ,زنی,زنی
Sim2, زنی ایستاده است و به آبشار نگاه نمی‌کند , مردی با تی شرت خاکستری روی صخره‌ای مقابل آبشار نشسته است ,زنی,مردی
Sim3, مردی با تی شرت رنگ خاکستری رنگ روی صخره‌ای مقابل آبشار نشسته است , زنی نشسته و به آبشار نگاه می‌کند ,مردی,زنی
Sim2, هیچ مردی با تی شرت خاکستری روی صخره‌ای مقابل آبشار نشسته است , زنی نشسته و به آبشار نگاه می‌کند ,مردی,زنی
Sim2, زنی نشسته و به آبشار نگاه می‌کند , یک راکر با یک تی شرت نشسته است که یک مرد روی یک آبشار خاکستری در جلو دارد ,زنی,راکر
Sim3, یک سگ که قهوه‌ای است و یک سیاه در چمن‌ها می‌دوند , هیچ سگی در چمن‌ها نمی‌دود ,سگ,سگ
Sim5, یک سگ سیاه تیره و یک سگ قهوه‌ای روشن در حیاط پشت بازی مشغول بازی هستند , یک سگ سیاه تیره و یک سگ قهوه‌ای روشن در حیاط خانه بازی می‌کنند ,سگ,سگ
Sim4, یک سگ سیاه تیره و یک سگ قهوه‌ای روشن در حیاط پشت بازی مشغول بازی هستند , یک سگ که قهوه‌ای است و یک سیاه در چمن‌ها می‌دوند ,سگ,سگ
Sim4, یک سگ سیاه تیره و یک سگ قهوه‌ای روشن در حیاط خانه در حال جنگ هستند , یک سگ که قهوه‌ای است و یک سیاه در چمن‌ها می‌دوند ,سگ,سگ
Sim3, هیچ سگی در چمن‌ها نمی‌دود , یک سگ سیاه تیره و یک سگ قهوه‌ای روشن در حیاط خانه بازی می‌کنند ,سگ,سگ
Sim4, یک سگ سفید و قهوه‌ای به سختی در میان آب قدم می‌زند , یک سگ سفید و قهوه‌ای به سختی در آب قدم می‌زند ,سگ,سگ
Sim4, گروهی از پسران در مقابل در بزرگی که از چوب ساخته شده ساکت هستند , گروهی از پسران در جلوی در بزرگی که از چوب ساخته شده با یک توپ بازی می‌کنند ,پسران,پسران
Sim3, بچه‌ها جلوی در بزرگی بازی نمی‌کنند , گروهی از پسران در جلوی در بزرگی که از چوب ساخته شده با یک توپ بازی می‌کنند ,بچه ها,پسران
Sim3, دسته‌ای از پسران در جلوی در بزرگ ساخته شده از چوب با یک توپ بازی می‌کنند , بچه‌ها جلوی یک در بزرگ بازی می‌کنند ,پسران,بچه ها
Sim3, بچه‌ها جلوی یک در بزرگ بازی می‌کنند , گروهی از پسران در مقابل در بزرگی که از چوب ساخته شده ساکت هستند ,بچه ها,پسران
Sim5, یک خانم جوان با موهای قهوه‌ای روشن گردنبند قرمز ژاکت و گوشواره بسته و لبخند می‌زند , یک خانم با سن کم موهای قهوه‌ای روشن گردنبند قرمز ژاکت و گوشواره دارد و لبخند می‌زند ,خانم,خانم
Sim2, پسری در حال بالا رفتن از دیواری است که به طور مصنوعی برای کوهنوردی ساخته شده و به یک طناب متصل شده است , یک پسر کوهنورد گربه ترسناک را از بالای دیوار نجات می‌دهد ,پسری,پسر
Sim4, یک پسر کوچک ترسیده روی یک دیوار کوهنوردی قرار دارد , پسری بدون زحمت از دیواری که برای صعود مصنوعی ساخته شده است بالا می‌رود و به یک طناب متصل است ,پسر,پسر
Sim4, پسری در حال بالا رفتن از دیواری است که به طور مصنوعی برای کوهنوردی ساخته شده و به یک طناب متصل شده است , یک پسر کوچک ترسیده روی یک دیوار کوهنوردی قرار دارد ,پسر,پسر
Sim5, این مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است , یک مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است ,مرد,مرد
Sim3, پدری هنگام راه اندازی دخترانش در استخر شنا است , این مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است ,پدر,مرد
Sim4, شخصی با طنابی جلوی سنگ ایستاده است که صورتی است , شخصی در حال بالا رفتن از صخره‌ای با طناب است که صورتی است ,شخص,شخص
Sim3, یک مرد با طناب از صخره بالا می‌رود , شخصی با طنابی جلوی سنگ ایستاده است که صورتی است ,مرد,شخص
Sim4, شخصی در حال بالا رفتن از صخره‌ای با طناب است که صورتی است , یک مرد با طناب از صخره بالا می‌رود ,شخص,مرد
Sim3, شخصی در حال بالا رفتن از صخره‌ای با طناب است که صورتی است , یک مرد با طناب از صخره پایین می‌آید ,شخص,مرد
Sim3, شخصی در حال بالا رفتن از صخره‌ای با طناب است که صورتی است , یک کوهنورد اجتماعی مردی را با طناب به صخره می‌بندد ,شخص,کوهنورد
Sim4, پسر جوانی از دیواری که از سنگ ساخته شده بالا نمی‌رود , پسر جوان در حال بالا رفتن از دیوار ساخته شده از سنگ است ,پسر,پسر
Sim5, یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد , یک بچه جوان در حال صعود از یک دیوار سنگ نوردی است که در داخل خانه است ,کودک,بچه
Sim3, یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد , کودکی در فضای بسته در حال تماشای برنامه‌ای درباره چند کوهنورد جوان بر روی دیواره سنگ است ,کودک,کودک
Sim3, کودکی در فضای بسته در حال تماشای برنامه‌ای درباره چند کوهنورد جوان بر روی دیواره سنگ است , پسر جوان در حال بالا رفتن از دیوار ساخته شده از سنگ است ,کودک,پسر
Sim4, یک پسر جوان در حال بالا رفتن از دیواری است که از سنگ ساخته شده است , یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد ,پسر,کودک
Sim3, یک کوهنورد جوان برای پسران دیوار سنگ درست می‌کند , یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد ,کوهنورد,کودک
Sim4, دوچرخه سوار در حال انجام یک ترفند در هوا است , دوچرخه سوار ترفندی در هوا اجرا نمی‌کند ,دوچرخه سوار,دوچرخه سوار
Sim5, یک سگ که سیاه است و یک سفید در خیابان به یکدیگر خیره شده‌اند , یک سگ که سیاه است و دیگری که سفید است در خیابان به یکدیگر خیره شده‌اند ,سگ,سگ
Sim3, یک سگ که سیاه است و یک سفید در خیابان به یکدیگر خیره شده‌اند , یک سگ سفید به خیابان سیاه خیره شده است ,سگ,سگ
Sim5, دو سگ از نژادهای مختلف در آن سوی خیابان با عصبانیت به یکدیگر نگاه می‌کنند , دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می‌کنند ,سگ,سگ
Sim4, دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می‌کنند , هیچ سگی از نژادهای مختلف در خیابان‌ها به یکدیگر نگاه نمی‌کنند ,سگ,سگ
Sim4, یک سگ که سیاه است و دیگری که سفید است در خیابان به یکدیگر خیره شده‌اند , دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می‌کنند ,سگ,سگ
Sim3, سگی در کنار درخت که احتمالا یک کاج است در حال انداختن یک سطل است , سگی در کنار درخت که احتمالا یک کاج است دارد سطلی را گاز می‌گیرد ,سگ,سگ
Sim5, سگی پشمالو و سیاه در حیاط خانه است و سبدی را در دهان خود حمل می‌کند , سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می‌کند ,سگ,سگ
Sim4, سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می‌کند , هیچ سگی در حیاط پشتی خزدار و سیاه پوست وجود ندارد که سبدی را در دهان خود حمل کند ,سگ,سگ
Sim3, سگی در کنار درخت که احتمالا یک کاج است دارد سطلی را گاز می‌گیرد , هیچ سگی در حیاط پشتی خزدار و سیاه پوست وجود ندارد که سبدی را در دهان خود حمل کند ,سگ,سگ
Sim3, سگی در حیاط پشتی خز سیاه را در سبدی در دهان خود حمل می‌کند , سگی در کنار درخت که احتمالا یک کاج است دارد سطلی را گاز می‌گیرد ,سگ,سگ
Sim3, سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می‌کند , سگی در کنار درخت که احتمالا یک کاج است در حال انداختن یک سطل است ,سگ,سگ
Sim5, دو نفر در اندازه بزرگ روی نیمکت پارک نشسته‌اند و یک بطری نوشابه بین خود دارند , دو فرد بزرگ روی نیمکت پارک نشسته‌اند و یک بطری نوشابه دارند ,نفر,فرد
Sim4, دو فرد بزرگ روی نیمکت پارک نشسته‌اند و یک بطری نوشابه دارند , دو فرد بزرگ نزدیک نیمکت پارک ایستاده‌اند و هیچ چیز بین آنها نیست ,فرد,فرد
Sim3, یک زن و مرد به راحتی روی نیمکت نشسته‌اند , دو نفر در اندازه بزرگ روی نیمکت پارک نشسته‌اند و یک بطری نوشابه بین خود دارند ,زن,نفر
Sim4, مرد در حال رقابت برای برتری است , یک مرد مسابقه را رهبری می‌کند ,مرد,مرد
